campaign_id,campaign_name,campaign_type,start_date,end_date,budget,actual_spend,impressions,clicks,conversions,channel
1,Summer Sale 1,Email,2023-05-09,2023-06-24,40457.75,34741.55,268753,7665,489,Email
2,Holiday Sale 2,Social Media,2023-07-13,2023-09-28,8204.81,8600.29,409350,15542,540,Twitter
3,Holiday Sale 3,Email,2023-04-16,2023-07-04,5296.0,3817.29,219292,9109,634,Instagram
4,Winter Sale 4,Influencer,2024-10-05,2024-10-26,48788.71,37705.71,475876,18657,960,LinkedIn
5,Cyber Monday Sale 5,Social Media,2024-05-17,2024-07-05,41788.12,31613.48,477770,20664,1471,Twitter
6,Winter Sale 6,Email,2024-08-26,2024-10-21,25412.78,18351.69,218964,2634,160,Google Ads
7,Black Friday Sale 7,Influencer,2024-06-29,2024-07-28,14882.27,11914.44,273205,11261,815,LinkedIn
8,Spring Sale 8,Social Media,2023-08-11,2023-08-31,47893.2,35181.9,310578,8083,254,Twitter
9,Spring Sale 9,PPC,2023-11-09,2023-12-14,27167.64,26711.52,210132,3806,222,Google Ads
10,Spring Sale 10,Email,2024-03-23,2024-06-11,10842.27,9176.31,144181,3585,161,Instagram
11,Spring Sale 11,Social Media,2024-03-16,2024-06-03,11444.74,10053.14,215254,4989,463,Facebook
12,Summer Sale 12,Email,2023-10-05,2023-11-26,37524.97,34840.33,105187,2490,140,Twitter
13,Summer Sale 13,Social Media,2024-08-20,2024-09-30,24821.61,17548.39,362352,9495,391,LinkedIn
14,Summer Sale 14,PPC,2023-12-08,2024-03-03,25020.51,21670.39,34667,1706,80,Twitter
15,Summer Sale 15,PPC,2024-11-04,2025-01-27,45680.46,37070.02,492530,16987,462,LinkedIn
16,Winter Sale 16,Social Media,2023-11-26,2023-12-26,27475.09,26255.12,300788,5226,389,LinkedIn
17,Holiday Sale 17,Email,2023-10-14,2023-12-12,41099.54,30674.26,53356,1445,59,LinkedIn
18,Spring Sale 18,Influencer,2024-03-02,2024-04-07,22457.08,17453.21,368575,4646,143,Twitter
19,Summer Sale 19,Email,2023-12-14,2024-01-15,20231.32,18710.89,92185,3733,75,Email
20,Black Friday Sale 20,Influencer,2023-05-06,2023-06-25,42351.93,37126.18,86109,3012,256,Google Ads
21,Fall Sale 21,PPC,2024-06-23,2024-09-21,15539.21,15570.71,176787,7471,451,Facebook
22,Cyber Monday Sale 22,Influencer,2023-06-19,2023-08-03,10071.55,9698.59,480618,15685,1562,Email
23,Fall Sale 23,Social Media,2023-12-19,2024-02-23,35126.92,36857.05,379359,14660,528,Email
24,Spring Sale 24,Email,2024-08-25,2024-09-21,16719.29,12369.33,100941,4917,270,Google Ads
25,Cyber Monday Sale 25,Social Media,2023-11-13,2024-01-17,25844.63,23914.96,186092,9056,446,Google Ads
26,Winter Sale 26,Email,2023-08-07,2023-10-04,7928.97,5733.32,80476,1553,136,LinkedIn
27,Fall Sale 27,PPC,2024-04-09,2024-05-12,17744.83,16321.43,146903,4819,434,Email
28,Winter Sale 28,PPC,2024-05-04,2024-06-16,33657.63,33125.87,247281,10263,279,Google Ads
29,Fall Sale 29,Influencer,2024-10-23,2025-01-11,10050.69,7414.33,319980,10368,907,Twitter
30,Winter Sale 30,Influencer,2024-09-11,2024-12-09,9846.6,8238.19,389947,19445,754,Facebook
